Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop
11/13/2019,7:28:30,2409,1,off,35.309387207,-80.74407959,Silver,CRI Deck
11/13/2019,7:28:32,2401,16,on,35.311962128,-80.73336792,Green,Wallis Hall W/Light Rail
11/13/2019,7:28:34,2403,1,on,35.311759949,-80.732963562,Gold,Wallis Hall E/Light Rail
11/13/2019,7:28:36,2408,1,on,35.303344727,-80.72946167,Gold,Robinson Hall N
11/13/2019,7:28:36,2409,4,on,35.309387207,-80.74407959,Silver,CRI Deck
11/13/2019,7:28:36,2409,1,off,35.309387207,-80.74407959,Silver,CRI Deck
11/13/2019,7:28:40,2407,2,off,35.308139801,-80.73274231,Silver,Student Union E
11/13/2019,7:28:46,2402,9,on,35.310302734,-80.72668457,Silver,Martin Hall
11/13/2019,7:28:55,2412,1,off,35.304298401,-80.735031128,Green,Cone Deck W
11/13/2019,7:29:30,2407,1,off,35.308078766,-80.730384827,Silver,Aux Services East
11/13/2019,7:29:36,2402,1,on,35.308807373,-80.725067139,Silver,Lot 6
11/13/2019,7:29:45,2410,1,off,35.309402466,-80.741333008,Silver,CRI Deck
11/13/2019,7:30:02,2401,1,off,35.310214996,-80.736167908,Green,Belk Hall S
11/13/2019,7:30:32,2402,2,on,35.307224274,-80.725242615,Silver,Lot 5A
11/13/2019,7:30:42,2408,3,off,35.307556152,-80.729286194,Gold,Fretwell N
11/13/2019,7:30:50,2409,2,on,35.312366486,-80.741798401,Silver,Duke Centennial Hall East
11/13/2019,7:30:55,2406,2,on,35.310661316,-80.729263306,Green,Student Health N
11/13/2019,7:31:29,2412,7,on,35.301113129,-80.735725403,Green,South Village Deck
11/13/2019,7:31:32,2401,1,off,35.30790329,-80.734779358,Green,Woodward Hall East
11/13/2019,7:31:51,2403,1,off,35.30701828,-80.729522705,Gold,Fretwell S
11/13/2019,7:32:16,2402,1,on,35.307575226,-80.729316711,Silver,Fretwell N
11/13/2019,7:32:18,2402,4,off,35.307575226,-80.729316711,Silver,Fretwell N
11/13/2019,7:32:29,2406,4,on,35.31370163,-80.732017517,Green,North Deck
11/13/2019,7:32:44,2408,3,off,35.308174133,-80.732658386,Gold,Student Union W
11/13/2019,7:32:53,2403,1,off,35.305141449,-80.728317261,Gold,Cato Hall S
11/13/2019,7:32:54,2401,2,on,35.308067322,-80.732772827,Green,Student Union E
11/13/2019,7:32:58,2401,9,off,35.308067322,-80.732772827,Green,Student Union E
11/13/2019,7:33:09,2407,5,on,35.310295105,-80.726669312,Silver,Martin Hall
11/13/2019,7:33:32,2402,7,off,35.308177948,-80.732650757,Silver,Student Union W
11/13/2019,7:33:43,2412,4,on,35.301105499,-80.735717773,Green,South Village Deck
11/13/2019,7:33:57,2410,2,on,35.309436798,-80.74407959,Silver,PORTAL East
11/13/2019,7:34:10,2401,2,off,35.308048248,-80.730384827,Green,Aux Services East
11/13/2019,7:34:14,2409,1,off,35.30802536,-80.734809875,Silver,Woodward Hall East
11/13/2019,7:34:35,2407,7,on,35.30878067,-80.725036621,Silver,Lot 6
11/13/2019,7:34:42,2402,8,on,35.308166504,-80.732658386,Silver,Student Union W
11/13/2019,7:34:49,2403,1,on,35.301937103,-80.733039856,Gold,Levine Hall W
11/13/2019,7:34:49,2412,1,on,35.30210495,-80.732711792,Green,Levine Hall E
11/13/2019,7:34:51,2412,2,off,35.30210495,-80.732711792,Green,Levine Hall E
11/13/2019,7:35:16,2409,3,off,35.308166504,-80.732803345,Silver,Student Union E
11/13/2019,7:35:22,2401,7,off,35.307044983,-80.729560852,Green,Fretwell S
11/13/2019,7:35:31,2406,5,on,35.311927795,-80.733451843,Green,Wallis Hall W/Light Rail
11/13/2019,7:35:51,2407,2,on,35.307182312,-80.725257874,Silver,Lot 5A
11/13/2019,7:36:09,2403,6,on,35.301288605,-80.735717773,Gold,Hunt Hall
11/13/2019,7:36:14,2409,2,off,35.308063507,-80.730400085,Silver,Aux Services East
11/13/2019,7:36:21,2412,1,off,35.3033638,-80.729446411,Green,Robinson Hall N
11/13/2019,7:36:31,2407,1,on,35.306339264,-80.726821899,Silver,East Deck 2
11/13/2019,7:36:43,2406,3,on,35.310268402,-80.73613739,Green,Belk Hall S
11/13/2019,7:36:57,2410,3,on,35.312320709,-80.741737366,Silver,CRI Deck
11/13/2019,7:37:09,2403,1,on,35.301300049,-80.735717773,Gold,Hunt Hall
11/13/2019,7:37:16,2401,1,off,35.303512573,-80.729515076,Green,Robinson Hall S
11/13/2019,7:37:25,2412,4,off,35.305049896,-80.72819519,Green,Cato Hall N
11/13/2019,7:37:42,2402,10,off,35.309375763,-80.741355896,Silver,EPIC S
11/13/2019,7:37:55,2406,2,off,35.308063507,-80.734809875,Green,Woodward Hall East
11/13/2019,7:37:59,2407,3,off,35.307632446,-80.7293396,Silver,Fretwell N
11/13/2019,7:38:39,2406,2,off,35.308258057,-80.73285675,Green,Student Union E
11/13/2019,7:38:41,2406,1,on,35.308258057,-80.73285675,Green,Student Union E
11/13/2019,7:38:47,2412,5,off,35.307567596,-80.72933197,Green,Fretwell N
11/13/2019,7:38:55,2410,2,on,35.309928894,-80.741867065,Silver,CRI Deck
11/13/2019,7:39:08,2408,5,on,35.311748505,-80.733093262,Gold,Wallis Hall E/Light Rail
11/13/2019,7:39:14,2401,1,off,35.304393768,-80.732795715,Green,Reese East
11/13/2019,7:39:15,2407,7,off,35.308135986,-80.732696533,Silver,Student Union W
11/13/2019,7:39:18,2407,7,on,35.308135986,-80.732696533,Silver,Student Union W
11/13/2019,7:39:21,2403,1,off,35.30430603,-80.734985352,Gold,Cone Deck East
11/13/2019,7:39:22,2409,7,on,35.310279846,-80.726676941,Silver,Martin Hall
11/13/2019,7:40:14,2401,1,off,35.304264069,-80.735168457,Green,Cone Deck W
11/13/2019,7:40:15,2403,1,off,35.304431915,-80.732818604,Gold,Reese East
11/13/2019,7:40:34,2409,4,on,35.308753967,-80.725074768,Silver,Lot 6
11/13/2019,7:40:47,2406,8,off,35.30701828,-80.729515076,Green,Fretwell S
11/13/2019,7:41:18,2402,4,on,35.30941391,-80.744110107,Silver,CRI Deck
11/13/2019,7:41:19,2412,2,on,35.313522339,-80.73184967,Green,North Deck
11/13/2019,7:41:40,2408,4,off,35.307044983,-80.729476929,Gold,Fretwell S
11/13/2019,7:41:41,2410,1,on,35.30809021,-80.732780457,Silver,CRI Deck
11/13/2019,7:41:43,2406,1,on,35.305156708,-80.72832489,Green,Cato Hall S
11/13/2019,7:41:47,2406,2,off,35.305156708,-80.72832489,Green,Cato Hall S
11/13/2019,7:42:11,2403,1,on,35.303329468,-80.729438782,Gold,Robinson Hall N
11/13/2019,7:42:30,2401,1,on,35.302661896,-80.737716675,Green,Alumni Way E
11/13/2019,7:42:41,2410,8,off,35.308135986,-80.730445862,Silver,CRI Deck
11/13/2019,7:43:04,2407,9,off,35.309364319,-80.741348267,Silver,EPIC S
11/13/2019,7:43:07,2403,1,off,35.305011749,-80.72820282,Gold,Cato Hall N
11/13/2019,7:43:11,2403,4,on,35.305011749,-80.72820282,Gold,Cato Hall N
11/13/2019,7:43:14,2402,1,on,35.309547424,-80.744117737,Silver,CRI Deck
11/13/2019,7:43:24,2408,1,on,35.303539276,-80.729530334,Gold,Robinson Hall S
11/13/2019,7:43:30,2401,2,off,35.301086426,-80.735725403,Green,South Village Deck
11/13/2019,7:43:31,2409,6,off,35.307579041,-80.729316711,Silver,Fretwell N
11/13/2019,7:44:08,2401,14,on,35.301086426,-80.735725403,Green,South Village Deck
11/13/2019,7:44:15,2406,2,off,35.304550171,-80.732711792,Green,Reese East
11/13/2019,7:45:04,2402,5,on,35.311721802,-80.742446899,Silver,PORTAL East
11/13/2019,7:45:17,2409,3,off,35.308116913,-80.732643127,Silver,Student Union W
11/13/2019,7:45:19,2409,1,on,35.308116913,-80.732643127,Silver,Student Union W
11/13/2019,7:45:34,2401,2,on,35.302082062,-80.732711792,Green,Levine Hall E
11/13/2019,7:45:41,2412,16,on,35.311969757,-80.73348999,Green,Wallis Hall W/Light Rail
11/13/2019,7:45:44,2402,6,on,35.312423706,-80.741752625,Silver,Duke Centennial Hall East
11/13/2019,7:46:07,2410,19,on,35.308807373,-80.725097656,Silver,CRI Deck
11/13/2019,7:46:08,2407,3,off,35.309375763,-80.74407959,Silver,CRI Deck
11/13/2019,7:46:29,2403,7,off,35.30821228,-80.73273468,Gold,Student Union W
11/13/2019,7:46:34,2407,1,off,35.309375763,-80.74407959,Silver,CRI Deck
11/13/2019,7:46:56,2401,2,off,35.303379059,-80.72946167,Green,Robinson Hall N
11/13/2019,7:47:14,2402,1,off,35.309883118,-80.741836548,Silver,EPIC N
11/13/2019,7:47:14,2408,7,on,35.301181793,-80.735679626,Gold,Hunt Hall
11/13/2019,7:47:15,2412,5,on,35.310249329,-80.736167908,Green,Belk Hall S
11/13/2019,7:47:33,2410,6,on,35.307231903,-80.725265503,Silver,CRI Deck
11/13/2019,7:48:02,2401,5,off,35.30513382,-80.728218079,Green,Cato Hall N
11/13/2019,7:48:11,2410,2,off,35.306362152,-80.726745605,Silver,CRI Deck
11/13/2019,7:48:41,2412,3,off,35.307971954,-80.734764099,Green,Woodward Hall East
11/13/2019,7:49:05,2409,1,off,35.309371948,-80.741355896,Silver,EPIC S
11/13/2019,7:49:22,2408,2,off,35.304275513,-80.735046387,Gold,Cone Deck East
11/13/2019,7:49:36,2402,3,off,35.308052063,-80.734779358,Silver,Woodward Hall East
11/13/2019,7:49:43,2412,1,on,35.308052063,-80.732711792,Green,Student Union E
11/13/2019,7:49:45,2410,1,on,35.307514191,-80.729385376,Silver,CRI Deck
11/13/2019,7:49:47,2409,1,off,35.310958862,-80.741516113,Silver,Grigg Hall W
11/13/2019,7:49:47,2410,6,off,35.307514191,-80.729385376,Silver,CRI Deck
11/13/2019,7:49:48,2401,9,off,35.307678223,-80.729316711,Green,Fretwell N
11/13/2019,7:49:49,2412,7,off,35.308052063,-80.732711792,Green,Student Union E
11/13/2019,7:49:51,2406,9,on,35.301204681,-80.735771179,Green,South Village Deck
11/13/2019,7:50:19,2407,2,on,35.309726715,-80.744338989,Silver,CRI Deck
11/13/2019,7:50:20,2408,4,off,35.304386139,-80.732833862,Gold,Reese East
11/13/2019,7:50:26,2402,7,off,35.308143616,-80.73274231,Silver,Student Union E
11/13/2019,7:50:45,2403,3,off,35.311721802,-80.733093262,Gold,Wallis Hall E/Light Rail
11/13/2019,7:50:49,2412,1,on,35.308029175,-80.730361938,Green,Aux Services East
11/13/2019,7:50:53,2412,2,off,35.308029175,-80.730361938,Green,Aux Services East
11/13/2019,7:51:21,2406,1,off,35.302200317,-80.732772827,Green,Levine Hall E
11/13/2019,7:51:27,2410,15,off,35.308181763,-80.732650757,Silver,CRI Deck
11/13/2019,7:51:31,2407,4,on,35.311576843,-80.742469788,Silver,PORTAL East
11/13/2019,7:51:37,2410,3,on,35.308181763,-80.732658386,Silver,CRI Deck
11/13/2019,7:51:58,2402,5,off,35.308094025,-80.730430603,Silver,Aux Services East
11/13/2019,7:52:05,2407,3,on,35.312271118,-80.741760254,Silver,Duke Centennial Hall East
11/13/2019,7:52:07,2403,8,on,35.311767578,-80.732940674,Gold,Wallis Hall E/Light Rail
11/13/2019,7:52:13,2412,8,off,35.306976318,-80.729476929,Green,Fretwell S
11/13/2019,7:52:16,2408,6,on,35.303333282,-80.729469299,Gold,Robinson Hall N
11/13/2019,7:52:39,2409,1,off,35.309272766,-80.744613647,Silver,CRI Deck
11/13/2019,7:53:03,2409,1,on,35.309356689,-80.74407196,Silver,CRI Deck
11/13/2019,7:53:18,2408,3,off,35.305000305,-80.728179932,Gold,Cato Hall N
11/13/2019,7:53:20,2401,2,on,35.313518524,-80.731834412,Green,North Deck
11/13/2019,7:53:33,2407,1,on,35.309921265,-80.741851807,Silver,EPIC N
11/13/2019,7:53:48,2412,2,off,35.30512619,-80.728263855,Green,Cato Hall S
11/13/2019,7:53:51,2406,4,off,35.305130005,-80.728225708,Green,Cato Hall N
11/13/2019,7:54:29,2402,5,on,35.31029129,-80.72668457,Silver,Martin Hall
11/13/2019,7:55:12,2412,2,off,35.303524017,-80.729537964,Green,Robinson Hall S
11/13/2019,7:55:23,2403,6,off,35.307029724,-80.729522705,Gold,Fretwell S
11/13/2019,7:55:39,2410,5,off,35.310894012,-80.741500854,Silver,CRI Deck
11/13/2019,7:55:45,2402,12,on,35.308803558,-80.725067139,Silver,Lot 6
11/13/2019,7:55:45,2406,3,off,35.307548523,-80.729301453,Green,Fretwell N
11/13/2019,7:55:58,2401,1,off,35.312004089,-80.733444214,Green,Wallis Hall W/Light Rail
11/13/2019,7:56:01,2409,1,on,35.311656952,-80.74243927,Silver,PORTAL East
11/13/2019,7:56:04,2401,2,on,35.312000275,-80.733444214,Green,Wallis Hall W/Light Rail
