,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
1280,11/13/2019,10:42:39,2407,7,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1285,11/13/2019,10:43:55,2407,9,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1291,11/13/2019,10:44:33,2401,1,off,35.301330566,-80.735977173,Green,Belk Hall S,South Village Deck
1292,11/13/2019,10:44:43,2407,12,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1299,11/13/2019,10:45:37,2401,10,on,35.301280975,-80.735916138,Green,Belk Hall S,South Village Deck
1302,11/13/2019,10:45:42,2412,1,off,35.311828613,-80.733261108,Green,Belk Hall S,Wallis Hall E/Light Rail
1304,11/13/2019,10:45:48,2412,4,on,35.311824799,-80.733261108,Green,Belk Hall S,Wallis Hall E/Light Rail
1307,11/13/2019,10:46:24,2410,5,on,35.309726715,-80.741622925,Silver,EPIC N,EPIC S
1312,11/13/2019,10:47:19,2401,3,on,35.302440643,-80.733062744,Green,Belk Hall S,Levine Hall W
1319,11/13/2019,10:48:43,2407,16,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1324,11/13/2019,10:49:07,2401,3,on,35.303668976,-80.729766846,Green,Belk Hall S,Robinson Hall S
1331,11/13/2019,10:50:11,2401,2,on,35.305408478,-80.728477478,Green,Belk Hall S,Cato Hall S
1335,11/13/2019,10:50:53,2407,6,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1343,11/13/2019,10:52:11,2401,11,off,35.307796478,-80.729576111,Green,Belk Hall S,Fretwell N
1344,11/13/2019,10:52:15,2407,3,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1351,11/13/2019,10:53:01,2407,2,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1360,11/13/2019,10:54:03,2401,1,off,35.310619354,-80.729187012,Green,Belk Hall S,Student Health N
1361,11/13/2019,10:54:45,2412,4,off,35.305484772,-80.72882843,Green,Fretwell S,Cato Hall S
1365,11/13/2019,10:55:03,2407,7,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1371,11/13/2019,10:56:07,2401,8,on,35.314239502,-80.732093811,Green,Belk Hall S,North Deck
1374,11/13/2019,10:56:20,2402,9,on,35.307857513,-80.730407715,Silver,EPIC N,Aux Services East
