,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop,CorrectStop
247,11/13/2019,7:43:07,2403,1,off,35.30501,-80.7282,Gold,Cato Hall N,,
248,11/13/2019,7:43:11,2403,4,on,35.30501,-80.7282,Gold,Cato Hall N,,
249,11/13/2019,7:43:14,2402,1,on,35.30955,-80.74412,Silver,CRI Deck,,
250,11/13/2019,7:43:24,2408,1,on,35.30354,-80.72953,Gold,Robinson Hall S,,
251,11/13/2019,7:43:30,2401,2,off,35.30109,-80.73573,Green,South Village Deck,,
252,11/13/2019,7:43:31,2409,6,off,35.30758,-80.72932,Silver,Fretwell N,,
253,11/13/2019,7:44:08,2401,14,on,35.30109,-80.73573,Green,South Village Deck,,
254,11/13/2019,7:44:15,2406,2,off,35.30455,-80.73271,Green,Reese East,,
255,11/13/2019,7:45:04,2402,5,on,35.31172,-80.74245,Silver,PORTAL East,,
256,11/13/2019,7:45:17,2409,3,off,35.30812,-80.73264,Silver,Student Union W,,
257,11/13/2019,7:45:19,2409,1,on,35.30812,-80.73264,Silver,Student Union W,,
258,11/13/2019,7:45:34,2401,2,on,35.30208,-80.73271,Green,Levine Hall E,,
259,11/13/2019,7:45:41,2412,16,on,35.31197,-80.73349,Green,Wallis Hall W/Light Rail,,
260,11/13/2019,7:45:44,2402,6,on,35.31242,-80.74175,Silver,Duke Centennial Hall East,,
261,11/13/2019,7:46:07,2410,19,on,35.30881,-80.7251,Silver,CRI Deck,,
262,11/13/2019,7:46:08,2407,3,off,35.30938,-80.74408,Silver,CRI Deck,,
263,11/13/2019,7:46:29,2403,7,off,35.30821,-80.73273,Gold,Student Union W,,
264,11/13/2019,7:46:34,2407,1,off,35.30938,-80.74408,Silver,CRI Deck,,
265,11/13/2019,7:46:56,2401,2,off,35.30338,-80.72946,Green,Robinson Hall N,,
266,11/13/2019,7:47:14,2402,1,off,35.30988,-80.74184,Silver,EPIC N,,
267,11/13/2019,7:47:14,2408,7,on,35.30118,-80.73568,Gold,Hunt Hall,,
268,11/13/2019,7:47:15,2412,5,on,35.31025,-80.73617,Green,Belk Hall S,,
269,11/13/2019,7:47:33,2410,6,on,35.30723,-80.72527,Silver,CRI Deck,,
270,11/13/2019,7:48:02,2401,5,off,35.30513,-80.72822,Green,Cato Hall N,,
271,11/13/2019,7:48:11,2410,2,off,35.30636,-80.72675,Silver,CRI Deck,,
272,11/13/2019,7:48:41,2412,3,off,35.30797,-80.73476,Green,Woodward Hall East,,
273,11/13/2019,7:49:05,2409,1,off,35.30937,-80.74136,Silver,EPIC S,,
274,11/13/2019,7:49:22,2408,2,off,35.30428,-80.73505,Gold,Cone Deck East,,
275,11/13/2019,7:49:36,2402,3,off,35.30805,-80.73478,Silver,Woodward Hall East,,
276,11/13/2019,7:49:43,2412,1,on,35.30805,-80.73271,Green,Student Union E,,
277,11/13/2019,7:49:45,2410,1,on,35.30751,-80.72939,Silver,CRI Deck,,
278,11/13/2019,7:49:47,2409,1,off,35.31096,-80.74152,Silver,Grigg Hall W,,
279,11/13/2019,7:49:47,2410,6,off,35.30751,-80.72939,Silver,CRI Deck,,
280,11/13/2019,7:49:48,2401,9,off,35.30768,-80.72932,Green,Fretwell N,,
281,11/13/2019,7:49:49,2412,7,off,35.30805,-80.73271,Green,Student Union E,,
282,11/13/2019,7:49:51,2406,9,on,35.3012,-80.73577,Green,South Village Deck,,
283,11/13/2019,7:50:19,2407,2,on,35.30973,-80.74434,Silver,CRI Deck,,
284,11/13/2019,7:50:20,2408,4,off,35.30439,-80.73283,Gold,Reese East,,
285,11/13/2019,7:50:26,2402,7,off,35.30814,-80.73274,Silver,Student Union E,,
286,11/13/2019,7:50:45,2403,3,off,35.31172,-80.73309,Gold,Wallis Hall E/Light Rail,,
287,11/13/2019,7:50:49,2412,1,on,35.30803,-80.73036,Green,Aux Services East,,
288,11/13/2019,7:50:53,2412,2,off,35.30803,-80.73036,Green,Aux Services East,,
289,11/13/2019,7:51:21,2406,1,off,35.3022,-80.73277,Green,Levine Hall E,,
290,11/13/2019,7:51:27,2410,15,off,35.30818,-80.73265,Silver,CRI Deck,,
291,11/13/2019,7:51:31,2407,4,on,35.31158,-80.74247,Silver,PORTAL East,,
292,11/13/2019,7:51:37,2410,3,on,35.30818,-80.73266,Silver,CRI Deck,,
293,11/13/2019,7:51:58,2402,5,off,35.30809,-80.73043,Silver,Aux Services East,,
294,11/13/2019,7:52:05,2407,3,on,35.31227,-80.74176,Silver,Duke Centennial Hall East,,
295,11/13/2019,7:52:07,2403,8,on,35.31177,-80.73294,Gold,Wallis Hall E/Light Rail,,
296,11/13/2019,7:52:13,2412,8,off,35.30698,-80.72948,Green,Fretwell S,,
297,11/13/2019,7:52:16,2408,6,on,35.30333,-80.72947,Gold,Robinson Hall N,,
298,11/13/2019,7:52:39,2409,1,off,35.30927,-80.74461,Silver,CRI Deck,,
