,Lattitude,Longitude,isStop,Stop
300,35.304299679703476,-80.73693234616805,no,
301,35.30429311289736,-80.73688138419676,no,
302,35.30428435715504,-80.736744591537,no,
303,35.30428216821932,-80.73661316329527,no,
304,35.30428435715504,-80.73650319272566,no,
305,35.30428435715504,-80.73636103564787,no,
306,35.304286546090715,-80.73623765403319,no,
307,35.30428435715504,-80.73615450555373,no,
308,35.3042777903477,-80.73603380614806,no,
309,35.30427341247582,-80.73591847116042,no,
310,35.30426465673137,-80.7357709496646,no,
311,35.30426465673137,-80.73565829688597,no,
312,35.30427341247582,-80.73556710177947,no,
313,35.30427560141179,-80.73545176679183,no,
314,35.3042777903477,-80.7353203385501,no,
315,35.30427560141179,-80.73521573239852,no,
316,35.30427341247582,-80.7351406305461,no,
317,35.3042712235398,-80.7350682109027,no,
318,35.30427341247582,-80.73495019370604,yes,Cone Deck East
319,35.30426903460371,-80.73475171023894,no,
320,35.30426903460371,-80.73467929059554,no,
321,35.30426903460371,-80.73454518014479,no,
322,35.30426903460371,-80.73445398503829,no,
323,35.30426027885879,-80.73424209052611,no,
324,35.30426027885879,-80.73412407332945,no,
325,35.30425590098598,-80.73399532729674,no,
326,35.30424933417631,-80.73387194568205,no,
327,35.304251523112924,-80.73375929290343,no,
328,35.30426246779511,-80.73368323943419,no,
329,35.30426684566757,-80.73361444494024,no,
330,35.30426465673137,-80.73348806752793,no,
331,35.30426903460371,-80.73337273254029,no,
332,35.30427341247582,-80.7332493509256,no,
333,35.304299679703476,-80.73314474477402,no,
334,35.304323757988,-80.73305891408555,no,
335,35.30433251372605,-80.73297308339707,no,
336,35.30434126946316,-80.73288993491761,no,
337,35.30435002519931,-80.73278264655701,no,
338,35.30435440306703,-80.73272363795869,no,
339,35.304356592000815,-80.73260293855301,yes,Reese East
340,35.30435221413321,-80.73250369681946,no,
341,35.304356592000815,-80.73241518392197,no,
342,35.30435440306703,-80.73235617532364,no,
343,35.30435221413321,-80.73232130660645,no,
344,35.30435002519931,-80.73232130660645,no,
345,35.30427341247582,-80.73230789556138,no,
346,35.30422306693231,-80.73230521335236,no,
347,35.30413550939072,-80.73229984893433,no,
348,35.30405232963844,-80.73229984893433,no,
349,35.30397571663306,-80.73230789556138,no,
350,35.303829057248976,-80.73230789556138,no,
351,35.30376995563098,-80.73231057777039,no,
352,35.30368896445473,-80.7323132599794,no,
353,35.30364080750069,-80.73230789556138,no,
354,35.303542304550874,-80.7322944845163,no,
355,35.30342847877063,-80.73228375568024,no,
356,35.30334529829148,-80.73228912009827,no,
357,35.303305896982046,-80.73228912009827,no,
358,35.30317751598722,-80.732240840336,no,
359,35.30311899992301,-80.73221938266389,no,
360,35.30303011187469,-80.73219524278275,no,
361,35.30296424612001,-80.73218987836472,no,
362,35.30291389976189,-80.73218987836472,no,
363,35.302835096703674,-80.73220865382783,no,
364,35.30278037231254,-80.7322220648729,no,
365,35.302699380145725,-80.73223547591797,no,
366,35.30265778954208,-80.73224888696305,no,
367,35.30260087604981,-80.73225961579911,no,
368,35.30254615150025,-80.7322569335901,no,
369,35.302508938785415,-80.7322220648729,no,
370,35.30247829300742,-80.7321684206926,no,
371,35.30246078112905,-80.73202626361481,no,
372,35.30246297011406,-80.73199944152466,no,
373,35.30247610402282,-80.7319511617624,no,
374,35.30251550573634,-80.73190019979111,no,
375,35.30255928539552,-80.73185192002884,no,
376,35.30261182095528,-80.73182241572968,no,
377,35.30266654546041,-80.73177413596741,no,
378,35.30270375810276,-80.73172317399613,no,
379,35.302740970727996,-80.73167221202485,no,
380,35.30278037231254,-80.73159442796342,no,
381,35.30280226207343,-80.73147909297577,no,
382,35.30282415182841,-80.73139862670533,no,
383,35.30283728567854,-80.73131011380784,no,
384,35.30286355337243,-80.73116527452103,no,
385,35.30288325413725,-80.73104725732438,no,
386,35.302889821057796,-80.7308890069925,no,
387,35.30288325413725,-80.73079244746796,no,
388,35.302881065163625,-80.73069588794343,no,
389,35.30287230926851,-80.73061273946396,no,
390,35.30286574234654,-80.73048667564026,no,
391,35.30286574234654,-80.73034451856248,no,
392,35.30285698644976,-80.73017553939454,no,
393,35.30286574234654,-80.73007361545197,no,
394,35.30287012029458,-80.7299341405832,no,
395,35.302876687216184,-80.72982148780457,no,
396,35.302878876189936,-80.72973029269806,no,
397,35.3028963879778,-80.72967396630875,no,
398,35.302916088734634,-80.72968087695925,no,
399,35.30296205714858,-80.72963363634777,no,
400,35.303038671113775,-80.72955284197567,no,
401,35.303108718104184,-80.72949651558636,no,
402,35.30316563123924,-80.72947774012326,no,
403,35.30322035536982,-80.72947774012326,no,
404,35.30328821324032,-80.72947774012326,no,
405,35.303336370404224,-80.72946969349621,no,
406,35.30339547233893,-80.72947774012326,yes,Robinson Hall N
407,35.30345457423047,-80.72945091803311,no,
408,35.30351367607883,-80.7294133671069,no,
409,35.303577155793796,-80.7293597229266,no,
410,35.30362093487855,-80.72928193886517,no,
411,35.30364720231803,-80.72919879038571,no,
412,35.30366471393962,-80.72909954865216,no,
413,35.303673469748986,-80.72889838297604,no,
414,35.30368660346127,-80.72879109461545,no,
415,35.303697548219866,-80.72863016207455,no,
416,35.30371724878163,-80.72846118290661,no,
417,35.30374351618985,-80.72839144547223,no,
418,35.303791673082756,-80.72831097920178,no,
419,35.30383545205144,-80.72826269943951,no,
420,35.30389236467531,-80.72823587734936,no,
421,35.303993056142566,-80.7282251485133,no,
422,35.30406310230675,-80.7282251485133,no,
423,35.30411782583032,-80.72822783072232,no,
424,35.304198816577276,-80.7282251485133,no,
425,35.30425572894556,-80.7282259418137,no,
426,35.30431483020871,-80.72824056108942,no,
427,35.30437612036194,-80.72824561417953,no,
428,35.30442646581021,-80.72824561417953,no,
429,35.30450964517785,-80.72824561417953,no,
430,35.304588446605145,-80.72824293197051,no,
431,35.30467381473146,-80.72823756755248,no,
432,35.30474167138298,-80.72823220313445,no,
433,35.30480077229117,-80.72822952092544,no,
434,35.30486206207628,-80.72822952092544,no,
435,35.30492116289652,-80.72822683871642,no,
436,35.30497150800564,-80.7282214742984,no,
437,35.30501090850397,-80.7282214742984,no,
438,35.30510284292544,-80.72821342767135,yes,Cato Hall N
439,35.30510284292544,-80.72821342767135,no,
440,35.30518821050899,-80.72819465220824,no,
441,35.30525606672909,-80.72815441907302,no,
442,35.305299844905406,-80.7281141859378,no,
443,35.30534362305803,-80.72804444850341,no,
444,35.30536988993825,-80.72799348653213,no,
445,35.30540929024255,-80.72794520676986,no,
446,35.30544869052769,-80.72791838467971,no,
447,35.30550122421136,-80.72792911351577,no,
448,35.305549380058075,-80.72796666444198,no,
449,35.30557783577221,-80.72800957978622,no,
450,35.305601913676355,-80.72805785954849,no,
451,35.305610669276085,-80.72813063733255,no,
452,35.30566976954948,-80.72810894000295,no,
453,35.305731058676294,-80.72811698663,no,
454,35.305836125642806,-80.72811966883901,no,
455,35.3059193035612,-80.72812771546606,no,
456,35.305993725836736,-80.72813039767507,no,
457,35.30610317023523,-80.72814649092916,no,
458,35.30616227014887,-80.72817599522833,no,
459,35.30622355890258,-80.72823232161764,no,
460,35.30627390320126,-80.72830474126104,no,
461,35.3063154919461,-80.72838520753149,no,
462,35.30634613627072,-80.72845226275686,no,
463,35.30637678058374,-80.72853272902731,no,
464,35.30640742488515,-80.72861319529775,no,
465,35.30643588029749,-80.72869097935919,no,
466,35.306477468959066,-80.7287660812116,no,
467,35.30652781309975,-80.72885727631811,no,
468,35.30657159058791,-80.72895920026068,no,
469,35.30663506790366,-80.72908794629339,no,
470,35.306659145493164,-80.72912281501058,no,
471,35.306696356299206,-80.72920059907202,no,
472,35.306737944826885,-80.72927301871542,no,
473,35.30675764464832,-80.72931861626867,no,
474,35.306799233144496,-80.72937226044897,no,
475,35.306843010485785,-80.72940444695715,no,
476,35.306884598938076,-80.7294151757932,no,
477,35.306899920994056,-80.72941785800222,no,
478,35.30695683146229,-80.72942590462927,no,
479,35.30702030847577,-80.72942054021124,no,
480,35.30707940771942,-80.72941249358419,no,
481,35.3071319403442,-80.72939908253912,no,
482,35.30721730578671,-80.72938298928503,no,
483,35.30729391572253,-80.72936689603094,no,
484,35.30735520361895,-80.7293588494039,no,
485,35.30742743572297,-80.72935616719488,no,
486,35.307451993330076,-80.72934812056783,no,
487,35.30750528634699,-80.7293427561498,no,
488,35.30753759022709,-80.72934007394079,no,
489,35.30759702394561,-80.72932934510473,yes,Fretwell N
490,35.30764955623427,-80.72932934510473,no,
491,35.30774586534155,-80.72932666289572,no,
492,35.307831230136244,-80.72933470952276,no,
493,35.30793848321215,-80.72933739173178,no,
494,35.30800633712552,-80.7293427561498,no,
495,35.30807419098196,-80.72935616719488,no,
496,35.30808294631414,-80.72938298928503,no,
497,35.30809170164536,-80.72943663346533,no,
498,35.30809389047802,-80.72950905310873,no,
499,35.308096079310616,-80.72958683717016,no,
500,35.308096079310616,-80.7296673034406,no,
501,35.308098268143155,-80.72978532063726,no,
502,35.30810045697564,-80.72986846911672,no,
503,35.30810045697564,-80.72992747771505,no,
504,35.30810045697564,-80.72997288301083,no,
505,35.308098268143155,-80.73011716200767,no,
506,35.30808732397987,-80.73024703379726,no,
507,35.30809170164536,-80.73038879025864,no,
508,35.308098268143155,-80.7305154521808,no,
509,35.308098268143155,-80.73061469391435,no,
510,35.30810045697564,-80.7306951601848,no,
511,35.308098268143155,-80.73084268168061,no,
512,35.308104834640424,-80.73097947434037,no,
513,35.308102645808056,-80.731092127119,no,
514,35.30810045697564,-80.73122087315171,no,
515,35.308098268143155,-80.73137644127458,no,
516,35.308098268143155,-80.7315239627704,no,
517,35.308102645808056,-80.73163393334,no,
518,35.30810045697564,-80.73171171740144,no,
519,35.30809170164536,-80.73184046343415,no,
520,35.30809170164536,-80.73197725609391,no,
521,35.308098268143155,-80.73207918003648,no,
522,35.30810045697564,-80.73222401932328,no,
523,35.30810045697564,-80.73234203651994,no,
524,35.308102645808056,-80.73248687580674,no,
525,35.30810702347272,-80.73257807091325,no,
526,35.30810702347272,-80.73268535927384,yes,Student Union W
527,35.30811140113715,-80.73274436787217,no,
528,35.30811577880134,-80.73286506727784,no,
529,35.30811796763334,-80.73305013969987,no,
530,35.308122345297186,-80.7332003434047,no,
531,35.30812672296078,-80.7333076317653,no,
532,35.30812453412901,-80.7334524710521,no,
533,35.308122345297186,-80.73354366615861,no,
534,35.308113589969274,-80.73366972998231,no,
535,35.308113589969274,-80.73369118765443,no,
536,35.308109212304956,-80.73379479928325,no,
537,35.30808951281264,-80.73392315484399,no,
538,35.30806105798194,-80.73407932087046,no,
539,35.308045736145864,-80.73421719572471,no,
540,35.30803698080967,-80.73432462966916,no,
541,35.3080238478036,-80.73445337570188,no,
542,35.30800633712552,-80.73453652418134,no,
543,35.30799758178506,-80.73463308370587,no,
544,35.30798882644365,-80.7347832874107,no,
545,35.3079735045939,-80.73491739786145,no,
546,35.307955993904926,-80.73505955493924,no,
547,35.307949427395585,-80.73522048748013,no,
548,35.30794723855901,-80.73536800897595,no,
549,35.30794723855901,-80.7355021194267,no,
550,35.30794286088571,-80.73567914522168,no,
551,35.30794286088571,-80.73582130229947,no,
552,35.307945049722385,-80.73601978576657,no,
553,35.307949427395585,-80.73615926063535,no,
554,35.30795161623208,-80.736277277832,no,
555,35.307962560413735,-80.73636310852048,no,
556,35.30796037157752,-80.7364382103729,no,
557,35.30796037157752,-80.73645430362699,no,
558,35.30801071479539,-80.73645966804501,no,
559,35.30806762448222,-80.73646235025403,no,
