,Lattitude,Longitude,isStop
133,35.3079454496288,-80.73784584189451,no
134,35.30792793893375,-80.73795849467314,no
135,35.30787540682586,-80.73807651186979,no
136,35.30782287468385,-80.73814088488615,no
137,35.307722187982996,-80.73823744441069,no
138,35.30758647962269,-80.7383661904434,no
139,35.307525191901476,-80.73845202113188,no
140,35.307455148734675,-80.73861295367277,no
141,35.30736759469089,-80.73884362364805,no
142,35.30732381763346,-80.7390689292053,no
143,35.30733257304684,-80.73929423476255,no
144,35.30735008387076,-80.73945516730345,no
145,35.30737635009953,-80.73958927775419,no
146,35.307393860913976,-80.73967510844267,no
147,35.307442015634145,-80.73975557471312,yes
148,35.30747265953206,-80.7398253121475,no
149,35.307525191901476,-80.73990577841795,no
150,35.30759085731529,-80.7400237956146,no
151,35.307660900364596,-80.74014181281126,no
152,35.307761587141734,-80.74022764349974,no
153,35.3078447630805,-80.7402920165161,no
154,35.30792356125939,-80.74037784720457,no
155,35.30806364672125,-80.74045294905699,no
156,35.308138067024196,-80.7404744067291,no
157,35.30825188617863,-80.74052268649137,no
158,35.30839634872095,-80.74053341532743,no
159,35.3085145451546,-80.74053341532743,no
160,35.30864149668728,-80.74056023741758,no
161,35.30876844802072,-80.74059778834379,no
162,35.30885600054841,-80.74064070368803,no
163,35.30891290964059,-80.74067825461424,no
164,35.30897419631047,-80.74071580554045,no
165,35.309039860548104,-80.7407962718109,no
166,35.30907488145305,-80.74086600924528,no
167,35.309149300825716,-80.7409786620239,no
168,35.309206209711554,-80.7410859503845,no
169,35.30926311855736,-80.74117714549101,no
170,35.309293761765446,-80.74122006083525,no
171,35.30935067054966,-80.7412844338516,yes
172,35.309394446510275,-80.74136107320835,no
173,35.309433844854574,-80.74141471738865,no
174,35.30947762077018,-80.74148981924107,no
175,35.309530151837635,-80.74153809900334,no
176,35.30960019320784,-80.74159174318363,no
177,35.30968774483532,-80.74166148061802,no
178,35.309797184236416,-80.74172585363438,no
179,35.3098716029446,-80.74177949781468,no
180,35.31001168503307,-80.74181168432285,no
181,35.31011674644024,-80.74183314199497,no
182,35.31023056281067,-80.741838506413,no
183,35.31033562393357,-80.74183314199497,no
184,35.310471327682,-80.74180631990482,no
185,35.31056763342988,-80.74176876897862,no
186,35.31063767390178,-80.74173121805241,no
187,35.310720846883385,-80.74166148061802,no
188,35.31078650970319,-80.74155955667545,no
189,35.31084341743724,-80.74152200574925,no
190,35.31090908015754,-80.74145763273289,yes
191,35.311046445674016,-80.74136107320835,no
192,35.311094598219924,-80.74132352228214,no
193,35.3111558832369,-80.74125378484776,no
194,35.31123030069508,-80.7411894118314,no
195,35.31133098302954,-80.74106066579868,no
196,35.31137475791848,-80.74100702161839,no
197,35.31141853278372,-80.74096410627415,no
198,35.31152359236365,-80.74086754674961,no
199,35.311606764434316,-80.74077098722508,no
200,35.311707446300176,-80.74064224119236,no
201,35.3117906181818,-80.7405242239957,no
202,35.31184752520943,-80.74041693563511,no
203,35.31190880965594,-80.74027746076634,no
204,35.31196133914457,-80.74020235891392,no
205,35.312013868599074,-80.74017553682377,no
206,35.3121145499582,-80.74022918100407,no
207,35.31220647630709,-80.74029891843846,no
208,35.31228089279871,-80.74035792703678,no
209,35.31233779948141,-80.74040620679905,no
210,35.31239908355645,-80.74045985097935,no
211,35.312486632154545,-80.74054568166783,no
212,35.31255229354093,-80.74062078352024,no
213,35.31257855808055,-80.74067442770054,no
214,35.31261795487401,-80.74074952955296,no
215,35.312666106484386,-80.7408299958234,no
216,35.31270112581938,-80.74086218233158,no
217,35.31275803220642,-80.74091046209385,yes
218,35.31278867409055,-80.74094801302006,no
219,35.312854335231734,-80.7410445725446,no
220,35.3129024867014,-80.74114649648716,no
221,35.31289373189087,-80.74116795415928,no
222,35.312828070781656,-80.7412430560117,no
223,35.312718635481204,-80.74134497995426,no
224,35.31262670971439,-80.74145763273289,no
225,35.312582935502995,-80.74152737016728,no
226,35.312412215852206,-80.74171512479832,no
227,35.3123334220457,-80.74177413339665,no
228,35.31225462816243,-80.74184923524906,no
229,35.312145192086106,-80.74195115919163,no
230,35.312097040165625,-80.74221401567509,no
231,35.31208828526791,-80.74227302427342,no
232,35.31202700095737,-80.74233739728977,no
233,35.31196133914457,-80.74237494821598,no
234,35.311900054737855,-80.74239104147007,no
235,35.311821260432424,-80.74240177030613,no
236,35.311768730852826,-80.7424500500684,no
237,35.31164178422796,-80.74249832983067,no
238,35.31154110228037,-80.74256270284702,no
239,35.31142291026894,-80.74267535562565,no
240,35.3113441154987,-80.74278800840428,no
241,35.31123467819049,-80.74290602560093,no
242,35.31118652572797,-80.7429543053632,no
243,35.31111648573132,-80.74304013605168,no
244,35.31107271070261,-80.74311523790409,yes
245,35.31102893565022,-80.74315151151389,no
246,35.31091074289041,-80.74328314940205,no
247,35.31083194762127,-80.74335860710099,no
248,35.31073126466567,-80.74347662429764,no
249,35.3106218265283,-80.74360537033036,no
250,35.310569296169774,-80.74366437892868,no
251,35.31049487810346,-80.74373411636307,no
252,35.310376684563316,-80.74383067588761,no
253,35.310236603106915,-80.74398087959244,no
254,35.310170939840724,-80.74405598144486,no
255,35.310039613148426,-80.74417936305954,no
256,35.30993017407532,-80.74428128700211,no
257,35.309803224565016,-80.7444046686168,no
258,35.309720050639896,-80.74450122814133,no
259,35.30961498871751,-80.74462997417405,no
260,35.30953619218617,-80.74472116928055,no
261,35.30941799724525,-80.74482845764115,no
262,35.309404864463374,-80.74483918647721,no
263,35.3093567109116,-80.7447479913707,no
264,35.30933044532582,-80.7446943471904,no
265,35.309317312529735,-80.74464606742814,no
266,35.30929104693116,-80.74458705882981,no
267,35.30925164851732,-80.74447977046921,no
268,35.30923851570844,-80.74442076187088,no
269,35.30923851570844,-80.74436711769059,no
270,35.3092472709146,-80.74431347351029,no
271,35.30926478132407,-80.74428128700211,no
272,35.30930417973152,-80.7442437360759,no
273,35.30934357811978,-80.74420082073166,no
274,35.309365466104964,-80.74416863422348,no
275,35.30941361965153,-80.74410962562516,yes
276,35.30945301798649,-80.74409353237107,no
277,35.309496793891725,-80.74407743911698,no
278,35.30950992665867,-80.74407207469895,no
279,35.30954494736011,-80.74403988819077,no
280,35.3095887232156,-80.74398087959244,no
281,35.30964125421091,-80.74392187099411,no
282,35.3096543869544,-80.74390577774003,no
283,35.3096543869544,-80.74390577774003,no
284,35.309693785172094,-80.7439379642482,no
285,35.30972880579394,-80.74398087959244,no
286,35.30976820397539,-80.7440452526088,no
287,35.3097857142721,-80.74407743911698,no
288,35.30983386756851,-80.74416326980545,no
289,35.30986451056038,-80.74420082073166,no
290,35.30990828624293,-80.74423300723984,no
291,35.309991459974505,-80.74414181213334,no
292,35.31013154185542,-80.74399697284653,no
293,35.31028913368149,-80.74386822681382,no
294,35.310359174394534,-80.74380385379746,no
295,35.31044672520055,-80.74372338752701,no
296,35.31052552084495,-80.7436482856746,no
297,35.31059993888306,-80.74356245498612,no
298,35.31068748942849,-80.74347125987961,no
299,35.310775039879154,-80.7433800647731,no
300,35.310888855323356,-80.74325668315842,no
301,35.31097640555607,-80.74317085246994,no
302,35.311081465710245,-80.74305819969132,no
303,35.31117339323322,-80.7429455469127,no
304,35.31126094315797,-80.74285435180619,no
305,35.31132222804891,-80.74279534320786,no
306,35.311401022840464,-80.74272560577347,no
307,35.31144479769149,-80.74266123275711,no
308,35.31148419503717,-80.74261295299485,no
309,35.31154547975896,-80.74254857997849,no
310,35.311624274333035,-80.7424412916179,no
311,35.311624274333035,-80.7424412916179,yes
312,35.311707446300176,-80.74231822795763,no
313,35.311733711114144,-80.74226289497251,no
314,35.311742466050234,-80.74208586917753,no
315,35.311794995646885,-80.74195175872678,no
316,35.3118562801332,-80.74190884338255,no
317,35.31193507440451,-80.74191420780058,no
318,35.31204888821647,-80.74189811454649,no
319,35.31212768230016,-80.74187129245634,no
320,35.31218021164664,-80.74184983478422,no
321,35.31228089279871,-80.74179082618589,no
322,35.3123334220457,-80.7417210887515,yes
323,35.31249100958196,-80.74161380039091,no
324,35.31254353869249,-80.7415226052844,no
325,35.31261795487401,-80.74145286785001,no
326,35.312723012896065,-80.74133485065336,no
327,35.31277554185591,-80.74126511321897,no
328,35.312814938553416,-80.74119537578459,no
329,35.31283244819059,-80.7411631892764,no
330,35.312819315963075,-80.74110954509611,no
331,35.312771164443895,-80.74102371440763,no
332,35.312718635481204,-80.74090033279295,no
333,35.312670483902096,-80.74080377326841,no
334,35.31260920003267,-80.74072330699796,no
335,35.31255229354093,-80.74066429839964,no
336,35.312486632154545,-80.74059456096525,no
337,35.31241659328365,-80.74049800144071,no
338,35.31232466717356,-80.74037998424406,no
339,35.31224587328177,-80.74029951797361,no
340,35.312123304853074,-80.74025123821134,no
341,35.31203575586172,-80.74024050937528,no
342,35.31198760387608,-80.74023514495725,no
343,35.31194820677561,-80.7402619670474,no
344,35.31191318711463,-80.74033706889982,no
345,35.311886922358944,-80.74044435726042,no
346,35.311812505504854,-80.74060528980131,no
347,35.31175997591958,-80.74066966281767,no
348,35.3116986913603,-80.74073403583402,no
349,35.31161114190935,-80.74083059535856,no
350,35.31151045992362,-80.7409271548831,no
351,35.31144479769149,-80.74098616348142,no
352,35.31137913540606,-80.74103980766172,no
353,35.311265320651714,-80.74113100276823,no
354,35.31118652572797,-80.7412168334567,no
355,35.311133995736164,-80.74130266414518,no
356,35.311020180636895,-80.74145823226804,yes
357,35.3109457629854,-80.74150651203031,no
358,35.31088447780923,-80.74156015621061,no
359,35.31078817243858,-80.74164062248106,no
360,35.31070062200213,-80.74171572433347,no
361,35.31055616357481,-80.74181764827604,no
362,35.310402949809394,-80.74187129245634,no
363,35.310280378588104,-80.74190347896452,no
364,35.310219092907815,-80.74190884338255,no
365,35.31012278674498,-80.74189275012846,no
366,35.31009214385094,-80.74189275012846,no
367,35.30994768433697,-80.74185519920225,yes
368,35.30984368447427,-80.74181228385801,no
369,35.30974300028859,-80.74173181758756,no
370,35.30963793839601,-80.74167817340727,no
371,35.30955914188703,-80.74164062248106,no
372,35.30947159012036,-80.74154942737455,no
373,35.309401548638796,-80.74147968994016,no
374,35.309309619102216,-80.74137240157957,no
375,35.309270220697414,-80.74128120647306,no
376,35.30919580143599,-80.74113636718626,no
377,35.309134514934,-80.74100225673551,no
378,35.30907760599772,-80.74090569721098,no
379,35.308994431326525,-80.74080913768644,no
380,35.30887185797099,-80.74069112048979,no
381,35.308810571223574,-80.74063211189146,no
382,35.30869675285519,-80.74058919654722,no
383,35.308526025002365,-80.74059992538328,no
384,35.30839907328848,-80.74059456096525,no
385,35.30833778618288,-80.74057846771116,no
